"name"	"taxRank"	"taxID"	"Mean"	"barcode01.cladeReads"	"barcode02.cladeReads"	"barcode03.cladeReads"	"barcode04.cladeReads"	"barcode05.cladeReads"	"barcode06.cladeReads"	"barcode07.cladeReads"	"barcode08.cladeReads"	"barcode09.cladeReads"	"barcode10.cladeReads"	"barcode11.cladeReads"	"barcode12.cladeReads"	"barcode13.cladeReads"	"Mean.1"	"barcode01.taxonReads"	"barcode02.taxonReads"	"barcode03.taxonReads"	"barcode04.taxonReads"	"barcode05.taxonReads"	"barcode06.taxonReads"	"barcode07.taxonReads"	"barcode08.taxonReads"	"barcode09.taxonReads"	"barcode10.taxonReads"	"barcode11.taxonReads"	"barcode12.taxonReads"	"barcode13.taxonReads"	"Mean.2"	"barcode01.cladeReads.."	"barcode02.cladeReads.."	"barcode03.cladeReads.."	"barcode04.cladeReads.."	"barcode05.cladeReads.."	"barcode06.cladeReads.."	"barcode07.cladeReads.."	"barcode08.cladeReads.."	"barcode09.cladeReads.."	"barcode10.cladeReads.."	"barcode11.cladeReads.."	"barcode12.cladeReads.."	"barcode13.cladeReads.."	"Mean.3"	"barcode01.taxonReads.."	"barcode02.taxonReads.."	"barcode03.taxonReads.."	"barcode04.taxonReads.."	"barcode05.taxonReads.."	"barcode06.taxonReads.."	"barcode07.taxonReads.."	"barcode08.taxonReads.."	"barcode09.taxonReads.."	"barcode10.taxonReads.."	"barcode11.taxonReads.."	"barcode12.taxonReads.."	"barcode13.taxonReads.."	"lineage"
"Streptomyces nigra"	"S"	1827580	28.538	30	39	25	44	13	57	39	38	22	18	29	17	NA	28.538	30	39	25	44	13	57	39	38	22	18	29	17	NA	0.0017985	0.001953	0.00252	0.00244	0.003234	0.000899	0.002582	0.002048	0.001832	0.001641	0.001135	0.001803	0.001294	NA	0.0017985	0.001953	0.00252	0.00244	0.003234	0.000899	0.002582	0.002048	0.001832	0.001641	0.001135	0.001803	0.001294	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces jietaisiensis"	"S"	235987	20	32	20	17	32	19	27	29	36	20	14	14	NA	NA	20	32	20	17	32	19	27	29	36	20	14	14	NA	NA	0.0012636	0.002083	0.001292	0.001659	0.002352	0.001314	0.001223	0.001523	0.001735	0.001492	0.000883	0.0008703	NA	NA	0.0012636	0.002083	0.001292	0.001659	0.002352	0.001314	0.001223	0.001523	0.001735	0.001492	0.000883	0.0008703	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces lydicus"	"S"	47763	65	46	78	51	75	56	104	103	117	54	53	65	43	NA	65	46	78	51	75	56	104	103	117	54	53	65	43	NA	0.0040649	0.002995	0.00504	0.004978	0.005512	0.003873	0.004711	0.005409	0.00564	0.004028	0.003343	0.004041	0.003274	NA	0.0040649	0.002995	0.00504	0.004978	0.005512	0.003873	0.004711	0.005409	0.00564	0.004028	0.003343	0.004041	0.003274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces spongiicola"	"S"	1690221	20	32	NA	13	21	22	36	30	24	19	24	16	23	NA	20	32	NA	13	21	22	36	30	24	19	24	16	23	NA	0.0012658	0.002083	NA	0.001269	0.001543	0.001521	0.001631	0.001575	0.001157	0.001417	0.001514	0.0009947	0.001751	NA	0.0012658	0.002083	NA	0.001269	0.001543	0.001521	0.001631	0.001575	0.001157	0.001417	0.001514	0.0009947	0.001751	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces coralus"	"S"	66880	43.154	23	59	40	51	19	63	82	66	41	41	55	21	NA	43.154	23	59	40	51	19	63	82	66	41	41	55	21	NA	0.0027138	0.001497	0.003812	0.003904	0.003748	0.001314	0.002854	0.004306	0.003182	0.003058	0.002586	0.003419	0.001599	NA	0.0027138	0.001497	0.003812	0.003904	0.003748	0.001314	0.002854	0.004306	0.003182	0.003058	0.002586	0.003419	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces gobiensis"	"S"	2875706	23.538	40	23	NA	34	NA	48	49	51	25	18	18	NA	NA	23.538	40	23	NA	34	NA	48	49	51	25	18	18	NA	NA	0.001378	0.002604	0.001486	NA	0.002499	NA	0.002175	0.002573	0.002458	0.001865	0.001135	0.001119	NA	NA	0.001378	0.002604	0.001486	NA	0.002499	NA	0.002175	0.002573	0.002458	0.001865	0.001135	0.001119	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces fagopyri"	"S"	2662397	14.615	23	26	22	19	16	18	10	18	20	NA	18	NA	NA	14.615	23	26	22	19	16	18	10	18	20	NA	18	NA	NA	0.00097271	0.001497	0.00168	0.002147	0.001396	0.001106	0.0008154	0.0005251	0.0008677	0.001492	NA	0.001119	NA	NA	0.00097271	0.001497	0.00168	0.002147	0.001396	0.001106	0.0008154	0.0005251	0.0008677	0.001492	NA	0.001119	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces nojiriensis"	"S"	66374	34.308	56	52	39	38	47	46	41	42	NA	60	25	NA	NA	34.308	56	52	39	38	47	46	41	42	NA	60	25	NA	NA	0.0021889	0.003646	0.00336	0.003807	0.002793	0.00325	0.002084	0.002153	0.002025	NA	0.003784	0.001554	NA	NA	0.0021889	0.003646	0.00336	0.003807	0.002793	0.00325	0.002084	0.002153	0.002025	NA	0.003784	0.001554	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces atratus"	"S"	1893	25.231	22	33	21	20	21	49	27	41	21	25	28	20	NA	25.231	22	33	21	20	21	49	27	41	21	25	28	20	NA	0.0015813	0.001432	0.002132	0.00205	0.00147	0.001452	0.00222	0.001418	0.001976	0.001566	0.001577	0.001741	0.001523	NA	0.0015813	0.001432	0.002132	0.00205	0.00147	0.001452	0.00222	0.001418	0.001976	0.001566	0.001577	0.001741	0.001523	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces angustmyceticus"	"S"	285578	55.769	36	89	49	86	37	75	93	78	52	54	44	32	NA	55.769	36	89	49	86	37	75	93	78	52	54	44	32	NA	0.0035581	0.002344	0.005751	0.004783	0.006321	0.002559	0.003398	0.004883	0.00376	0.003879	0.003406	0.002735	0.002436	NA	0.0035581	0.002344	0.005751	0.004783	0.006321	0.002559	0.003398	0.004883	0.00376	0.003879	0.003406	0.002735	0.002436	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces antibioticus"	"S"	1890	110.62	130	145	125	99	68	131	187	125	62	85	159	122	NA	110.62	130	145	125	99	68	131	187	125	62	85	159	122	NA	0.0071498	0.008464	0.009369	0.0122	0.007276	0.004702	0.005935	0.009819	0.006026	0.004624	0.005361	0.009884	0.009288	NA	0.0071498	0.008464	0.009369	0.0122	0.007276	0.004702	0.005935	0.009819	0.006026	0.004624	0.005361	0.009884	0.009288	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces cynarae"	"S"	2981134	14.692	22	17	10	16	16	32	25	27	NA	NA	14	12	NA	14.692	22	17	10	16	16	32	25	27	NA	NA	14	12	NA	0.00089515	0.001432	0.001098	0.0009761	0.001176	0.001106	0.00145	0.001313	0.001302	NA	NA	0.0008703	0.0009136	NA	0.00089515	0.001432	0.001098	0.0009761	0.001176	0.001106	0.00145	0.001313	0.001302	NA	NA	0.0008703	0.0009136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces vilmorinianum"	"S"	3051092	14.846	22	17	16	15	NA	26	24	23	NA	17	16	17	NA	14.846	22	17	16	15	NA	26	24	23	NA	17	16	17	NA	0.0009309	0.001432	0.001098	0.001562	0.001102	NA	0.001178	0.00126	0.001109	NA	0.001072	0.0009947	0.001294	NA	0.0009309	0.001432	0.001098	0.001562	0.001102	NA	0.001178	0.00126	0.001109	NA	0.001072	0.0009947	0.001294	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces griseochromogenes"	"S"	68214	38.692	47	39	28	33	25	64	48	55	27	42	49	46	NA	38.692	47	39	28	33	25	64	48	55	27	42	49	46	NA	0.0024422	0.00306	0.00252	0.002733	0.002425	0.001729	0.002899	0.00252	0.002651	0.002014	0.002649	0.003046	0.003502	NA	0.0024422	0.00306	0.00252	0.002733	0.002425	0.001729	0.002899	0.00252	0.002651	0.002014	0.002649	0.003046	0.003502	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces griseocarneus"	"S"	51201	62.154	61	62	48	85	61	85	87	84	87	36	70	42	NA	62.154	61	62	48	85	61	85	87	84	87	36	70	42	NA	0.0039926	0.003971	0.004006	0.004685	0.006247	0.004218	0.003851	0.004568	0.004049	0.006489	0.002271	0.004352	0.003197	NA	0.0039926	0.003971	0.004006	0.004685	0.006247	0.004218	0.003851	0.004568	0.004049	0.006489	0.002271	0.004352	0.003197	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces cavourensis"	"S"	67258	15.385	21	16	10	22	14	22	13	24	16	20	11	11	NA	15.385	21	16	10	22	14	22	13	24	16	20	11	11	NA	0.00098259	0.001367	0.001034	0.0009761	0.001617	0.0009681	0.0009967	0.0006826	0.001157	0.001193	0.001261	0.0006838	0.0008374	NA	0.00098259	0.001367	0.001034	0.0009761	0.001617	0.0009681	0.0009967	0.0006826	0.001157	0.001193	0.001261	0.0006838	0.0008374	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces cyaneochromogenes"	"S"	2496836	83.385	108	106	75	136	92	122	100	116	55	98	76	NA	NA	83.385	108	106	75	136	92	122	100	116	55	98	76	NA	NA	0.0053028	0.007031	0.006849	0.007321	0.009996	0.006362	0.005527	0.005251	0.005592	0.004102	0.006181	0.004725	NA	NA	0.0053028	0.007031	0.006849	0.007321	0.009996	0.006362	0.005527	0.005251	0.005592	0.004102	0.006181	0.004725	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces pratensis"	"S"	1169025	95.769	125	175	73	95	70	133	86	143	91	100	76	78	NA	95.769	125	175	73	95	70	133	86	143	91	100	76	78	NA	0.0061221	0.008138	0.01131	0.007125	0.006982	0.004841	0.006025	0.004516	0.006893	0.006787	0.006307	0.004725	0.005938	NA	0.0061221	0.008138	0.01131	0.007125	0.006982	0.004841	0.006025	0.004516	0.006893	0.006787	0.006307	0.004725	0.005938	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces scopuliridis"	"S"	452529	21.462	21	17	15	26	16	40	29	35	13	29	25	13	NA	21.462	21	17	15	26	16	40	29	35	13	29	25	13	NA	0.0013316	0.001367	0.001098	0.001464	0.001911	0.001106	0.001812	0.001523	0.001687	0.0009696	0.001829	0.001554	0.0009897	NA	0.0013316	0.001367	0.001098	0.001464	0.001911	0.001106	0.001812	0.001523	0.001687	0.0009696	0.001829	0.001554	0.0009897	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces flavofungini"	"S"	68200	22.154	21	30	19	24	22	40	28	36	16	13	25	14	NA	22.154	21	30	19	24	22	40	28	36	16	13	25	14	NA	0.0013919	0.001367	0.001938	0.001855	0.001764	0.001521	0.001812	0.00147	0.001735	0.001193	0.00082	0.001554	0.001066	NA	0.0013919	0.001367	0.001938	0.001855	0.001764	0.001521	0.001812	0.00147	0.001735	0.001193	0.00082	0.001554	0.001066	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces alboflavus"	"S"	67267	48.077	39	56	41	55	68	63	62	77	48	41	47	28	NA	48.077	39	56	41	55	68	63	62	77	48	41	47	28	NA	0.0030728	0.002539	0.003619	0.004002	0.004042	0.004702	0.002854	0.003256	0.003712	0.00358	0.002586	0.002922	0.002132	NA	0.0030728	0.002539	0.003619	0.004002	0.004042	0.004702	0.002854	0.003256	0.003712	0.00358	0.002586	0.002922	0.002132	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces drozdowiczii"	"S"	202862	11.615	30	22	NA	15	16	26	21	21	NA	NA	NA	NA	NA	11.615	30	22	NA	15	16	26	21	21	NA	NA	NA	NA	NA	0.00068277	0.001953	0.001422	NA	0.001102	0.001106	0.001178	0.001103	0.001012	NA	NA	NA	NA	NA	0.00068277	0.001953	0.001422	NA	0.001102	0.001106	0.001178	0.001103	0.001012	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces hawaiiensis"	"S"	67305	14.692	20	18	10	10	NA	23	26	35	15	17	17	NA	NA	14.692	20	18	10	10	NA	23	26	35	15	17	17	NA	NA	0.00088601	0.001302	0.001163	0.0009761	0.000735	NA	0.001042	0.001365	0.001687	0.001119	0.001072	0.001057	NA	NA	0.00088601	0.001302	0.001163	0.0009761	0.000735	NA	0.001042	0.001365	0.001687	0.001119	0.001072	0.001057	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces incarnatus"	"S"	665007	15.308	20	16	11	16	13	33	20	22	11	21	16	NA	NA	15.308	20	16	11	16	13	33	20	22	11	21	16	NA	NA	0.00094086	0.001302	0.001034	0.001074	0.001176	0.000899	0.001495	0.00105	0.001061	0.0008205	0.001325	0.0009947	NA	NA	0.00094086	0.001302	0.001034	0.001074	0.001176	0.000899	0.001495	0.00105	0.001061	0.0008205	0.001325	0.0009947	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces tubbatahanensis"	"S"	2923272	19.615	19	15	15	19	21	29	31	24	21	24	20	17	NA	19.615	19	15	15	19	21	29	31	24	21	24	20	17	NA	0.0012488	0.001237	0.0009692	0.001464	0.001396	0.001452	0.001314	0.001628	0.001157	0.001566	0.001514	0.001243	0.001294	NA	0.0012488	0.001237	0.0009692	0.001464	0.001396	0.001452	0.001314	0.001628	0.001157	0.001566	0.001514	0.001243	0.001294	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces viridosporus"	"S"	67581	11	19	22	10	11	11	17	14	15	NA	14	10	NA	NA	11	19	22	10	11	11	17	14	15	NA	14	10	NA	NA	0.00068748	0.001237	0.001422	0.0009761	0.0008085	0.0007607	0.0007701	0.0007351	0.0007231	NA	0.000883	0.0006217	NA	NA	0.00068748	0.001237	0.001422	0.0009761	0.0008085	0.0007607	0.0007701	0.0007351	0.0007231	NA	0.000883	0.0006217	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces durocortorensis"	"S"	2811104	13.308	19	14	NA	11	NA	24	27	28	11	12	15	12	NA	13.308	19	14	NA	11	NA	24	27	28	11	12	15	12	NA	0.00078682	0.001237	0.0009046	NA	0.0008085	NA	0.001087	0.001418	0.00135	0.0008205	0.0007569	0.0009325	0.0009136	NA	0.00078682	0.001237	0.0009046	NA	0.0008085	NA	0.001087	0.001418	0.00135	0.0008205	0.0007569	0.0009325	0.0009136	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces liliifuscus"	"S"	2797636	45.231	49	NA	NA	40	55	77	70	65	45	81	68	38	NA	45.231	49	NA	NA	40	55	77	70	65	45	81	68	38	NA	0.002755	0.00319	NA	NA	0.00294	0.003803	0.003488	0.003676	0.003133	0.003356	0.005109	0.004227	0.002893	NA	0.002755	0.00319	NA	NA	0.00294	0.003803	0.003488	0.003676	0.003133	0.003356	0.005109	0.004227	0.002893	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces phaeolivaceus"	"S"	2653200	22.846	34	33	27	18	22	32	21	35	22	22	NA	31	NA	22.846	34	33	27	18	22	32	21	35	22	22	NA	31	NA	0.0014965	0.002214	0.002132	0.002635	0.001323	0.001521	0.00145	0.001103	0.001687	0.001641	0.001388	NA	0.00236	NA	0.0014965	0.002214	0.002132	0.002635	0.001323	0.001521	0.00145	0.001103	0.001687	0.001641	0.001388	NA	0.00236	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces qinzhouensis"	"S"	2599401	37.385	33	23	20	32	36	67	53	79	28	38	40	37	NA	37.385	33	23	20	32	36	67	53	79	28	38	40	37	NA	0.0022956	0.002148	0.001486	0.001952	0.002352	0.00249	0.003035	0.002783	0.003808	0.002088	0.002397	0.002487	0.002817	NA	0.0022956	0.002148	0.001486	0.001952	0.002352	0.00249	0.003035	0.002783	0.003808	0.002088	0.002397	0.002487	0.002817	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces dengpaensis"	"S"	2049881	53	36	37	51	43	43	96	89	96	25	60	70	43	NA	53	36	37	51	43	43	96	89	96	25	60	70	43	NA	0.0032902	0.002344	0.002391	0.004978	0.00316	0.002974	0.004349	0.004673	0.004628	0.001865	0.003784	0.004352	0.003274	NA	0.0032902	0.002344	0.002391	0.004978	0.00316	0.002974	0.004349	0.004673	0.004628	0.001865	0.003784	0.004352	0.003274	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces netropsis"	"S"	55404	10.846	19	13	10	12	NA	24	24	20	NA	19	NA	NA	NA	10.846	19	13	10	12	NA	24	24	20	NA	19	NA	NA	NA	0.00064955	0.001237	0.00084	0.0009761	0.000882	NA	0.001087	0.00126	0.0009641	NA	0.001198	NA	NA	NA	0.00064955	0.001237	0.00084	0.0009761	0.000882	NA	0.001087	0.00126	0.0009641	NA	0.001198	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces chromofuscus"	"S"	42881	34.769	37	42	38	43	35	67	49	46	39	NA	36	20	NA	34.769	37	42	38	43	35	67	49	46	39	NA	36	20	NA	0.0022236	0.002409	0.002714	0.003709	0.00316	0.00242	0.003035	0.002573	0.002217	0.002909	NA	0.002238	0.001523	NA	0.0022236	0.002409	0.002714	0.003709	0.00316	0.00242	0.003035	0.002573	0.002217	0.002909	NA	0.002238	0.001523	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces coeruleorubidus"	"S"	116188	52.154	47	97	49	78	49	66	59	69	34	60	44	26	NA	52.154	47	97	49	78	49	66	59	69	34	60	44	26	NA	0.0033601	0.00306	0.006268	0.004783	0.005733	0.003389	0.00299	0.003098	0.003326	0.002536	0.003784	0.002735	0.001979	NA	0.0033601	0.00306	0.006268	0.004783	0.005733	0.003389	0.00299	0.003098	0.003326	0.002536	0.003784	0.002735	0.001979	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces xanthophaeus"	"S"	67385	64.923	51	87	34	71	71	109	60	78	57	53	100	73	NA	64.923	51	87	34	71	71	109	60	78	57	53	100	73	NA	0.0041236	0.00332	0.005622	0.003319	0.005218	0.00491	0.004938	0.003151	0.00376	0.004251	0.003343	0.006217	0.005558	NA	0.0041236	0.00332	0.005622	0.003319	0.005218	0.00491	0.004938	0.003151	0.00376	0.004251	0.003343	0.006217	0.005558	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces melanogenes"	"S"	67326	58.385	76	78	47	80	52	73	94	81	73	57	48	NA	NA	58.385	76	78	47	80	52	73	94	81	73	57	48	NA	NA	0.0037095	0.004948	0.00504	0.004588	0.00588	0.003596	0.003307	0.004936	0.003905	0.005445	0.003595	0.002984	NA	NA	0.0037095	0.004948	0.00504	0.004588	0.00588	0.003596	0.003307	0.004936	0.003905	0.005445	0.003595	0.002984	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces glaucescens"	"S"	1907	11.462	18	28	NA	18	17	23	18	17	10	NA	NA	NA	NA	11.462	18	28	NA	18	17	23	18	17	10	NA	NA	NA	NA	0.00069482	0.001172	0.001809	NA	0.001323	0.001176	0.001042	0.0009452	0.0008195	0.0007459	NA	NA	NA	NA	0.00069482	0.001172	0.001809	NA	0.001323	0.001176	0.001042	0.0009452	0.0008195	0.0007459	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces lincolnensis"	"S"	1915	16.615	31	31	NA	28	35	25	25	22	19	NA	NA	NA	NA	16.615	31	31	NA	28	35	25	25	22	19	NA	NA	NA	NA	0.0010325	0.002018	0.002003	NA	0.002058	0.00242	0.001133	0.001313	0.001061	0.001417	NA	NA	NA	NA	0.0010325	0.002018	0.002003	NA	0.002058	0.00242	0.001133	0.001313	0.001061	0.001417	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces rochei"	"S"	1928	7.6154	17	NA	NA	NA	11	12	16	21	11	11	NA	NA	NA	7.6154	17	NA	NA	NA	11	12	16	21	11	11	NA	NA	NA	0.00044445	0.001107	NA	NA	NA	0.0007607	0.0005436	0.0008402	0.001012	0.0008205	0.0006938	NA	NA	NA	0.00044445	0.001107	NA	NA	NA	0.0007607	0.0005436	0.0008402	0.001012	0.0008205	0.0006938	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;rochei&nbsp;group"
"Streptomyces nodosus"	"S"	40318	20	26	21	NA	26	34	36	21	17	19	17	22	21	NA	20	26	21	NA	26	34	36	21	17	19	17	22	21	NA	0.0012555	0.001693	0.001357	NA	0.001911	0.002351	0.001631	0.001103	0.0008195	0.001417	0.001072	0.001368	0.001599	NA	0.0012555	0.001693	0.001357	NA	0.001911	0.002351	0.001631	0.001103	0.0008195	0.001417	0.001072	0.001368	0.001599	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces actuosus"	"S"	1885	12.769	17	25	13	20	11	22	19	18	10	NA	NA	11	NA	12.769	17	25	13	20	11	22	19	18	10	NA	NA	11	NA	0.00082055	0.001107	0.001615	0.001269	0.00147	0.0007607	0.0009967	0.0009977	0.0008677	0.0007459	NA	NA	0.0008374	NA	0.00082055	0.001107	0.001615	0.001269	0.00147	0.0007607	0.0009967	0.0009977	0.0008677	0.0007459	NA	NA	0.0008374	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces aquilus"	"S"	2548456	270.54	282	425	187	278	239	493	307	274	174	306	222	330	NA	270.54	282	425	187	278	239	493	307	274	174	306	222	330	NA	0.017222	0.01836	0.02746	0.01825	0.02043	0.01653	0.02233	0.01612	0.01321	0.01298	0.0193	0.0138	0.02512	NA	0.017222	0.01836	0.02746	0.01825	0.02043	0.01653	0.02233	0.01612	0.01321	0.01298	0.0193	0.0138	0.02512	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces deccanensis"	"S"	424188	60.154	64	74	NA	91	46	109	74	113	54	53	58	46	NA	60.154	64	74	NA	91	46	109	74	113	54	53	58	46	NA	0.0036591	0.004167	0.004782	NA	0.006688	0.003181	0.004938	0.003886	0.005447	0.004028	0.003343	0.003606	0.003502	NA	0.0036591	0.004167	0.004782	NA	0.006688	0.003181	0.004938	0.003886	0.005447	0.004028	0.003343	0.003606	0.003502	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces changanensis"	"S"	2964669	13.231	16	13	10	13	15	24	19	29	NA	11	12	10	NA	13.231	16	13	10	13	15	24	19	29	NA	11	12	10	NA	0.00081034	0.001042	0.00084	0.0009761	0.0009555	0.001037	0.001087	0.0009977	0.001398	NA	0.0006938	0.000746	0.0007613	NA	0.00081034	0.001042	0.00084	0.0009761	0.0009555	0.001037	0.001087	0.0009977	0.001398	NA	0.0006938	0.000746	0.0007613	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
