"name"	"taxRank"	"taxID"	"Max"	"barcode18.cladeReads"	"barcode19.cladeReads"	"barcode20.cladeReads"	"barcode21.cladeReads"	"barcode22.cladeReads"	"barcode23.cladeReads"	"barcode24.cladeReads"	"Max.1"	"barcode18.cladeReads.."	"barcode19.cladeReads.."	"barcode20.cladeReads.."	"barcode21.cladeReads.."	"barcode22.cladeReads.."	"barcode23.cladeReads.."	"barcode24.cladeReads.."	"lineage"
"Terrisporobacter hibernicus"	"S"	2813371	181	NA	NA	181	NA	NA	NA	NA	0.002028	NA	NA	0.002028	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Terrisporobacter"
"Peptacetobacter hiranonis"	"S"	89152	1236	NA	NA	1236	344	297	274	NA	0.01385	NA	NA	0.01385	0.003913	0.003378	0.003124	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Peptacetobacter"
"Paraclostridium sordellii"	"S"	1505	595	NA	NA	595	330	314	310	43	0.006666	NA	NA	0.006666	0.003753	0.003571	0.003534	0.0009791	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Paraclostridium"
"Paraclostridium bifermentans"	"S"	1490	564	NA	NA	564	175	193	171	46	0.006319	NA	NA	0.006319	0.00199	0.002195	0.001949	0.001047	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Paraclostridium"
"Intestinibacter bartlettii"	"S"	261299	567	NA	NA	567	249	242	238	NA	0.006353	NA	NA	0.006353	0.002832	0.002752	0.002713	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Intestinibacter"
"Tepidibacter aestuarii"	"S"	2925782	235	NA	NA	235	102	105	96	NA	0.002633	NA	NA	0.002633	0.00116	0.001194	0.001094	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Tepidibacter"
"Tepidibacter hydrothermalis"	"S"	3036126	257	NA	NA	184	106	83	65	257	0.005852	NA	NA	0.002061	0.001206	0.0009439	0.000741	0.005852	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Tepidibacter"
"Peptostreptococcus equinus"	"S"	3003601	141	NA	NA	141	77	59	54	NA	0.00158	NA	NA	0.00158	0.0008758	0.000671	0.0006156	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae>Peptostreptococcus"
"Emergencia sp. JLR.KK010"	"S"	3114296	1981	NA	NA	1981	790	792	746	51	0.02219	NA	NA	0.02219	0.008986	0.009007	0.008504	0.001161	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Emergencia>unclassified&nbsp;Emergencia"
"Emergencia timonensis"	"S"	1776384	911	NA	NA	911	606	589	573	626	0.01425	NA	NA	0.01021	0.006893	0.006698	0.006532	0.01425	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Emergencia"
"Mogibacterium neglectum"	"S"	114528	1035	NA	NA	1035	103	100	121	NA	0.0116	NA	NA	0.0116	0.001172	0.001137	0.001379	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Mogibacterium"
"Mogibacterium diversum"	"S"	114527	675	NA	NA	675	590	521	506	NA	0.007563	NA	NA	0.007563	0.006711	0.005925	0.005768	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Mogibacterium"
"Mogibacterium pumilum"	"S"	86332	220	NA	NA	220	165	190	165	NA	0.002465	NA	NA	0.002465	0.001877	0.002161	0.001881	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Mogibacterium"
"Aminipila luticellarii"	"S"	2507160	714	NA	NA	714	495	451	459	NA	0.007999	NA	NA	0.007999	0.00563	0.005129	0.005233	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Aminipila"
"Aminipila butyrica"	"S"	433296	578	NA	NA	578	319	347	358	NA	0.006476	NA	NA	0.006476	0.003628	0.003946	0.004081	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Aminipila"
"Aminipila terrae"	"S"	2697030	548	NA	NA	548	395	397	362	NA	0.00614	NA	NA	0.00614	0.004493	0.004515	0.004127	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae>Aminipila"
"Acetoanaerobium sticklandii"	"S"	1511	1454	NA	NA	1454	764	751	671	200	0.01629	NA	NA	0.01629	0.00869	0.00854	0.007649	0.004554	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Filifactoraceae>Acetoanaerobium"
"Filifactor alocis"	"S"	143361	327	NA	NA	327	212	199	226	NA	0.003664	NA	NA	0.003664	0.002411	0.002263	0.002576	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Filifactoraceae>Filifactor"
"Alkaliphilus sp. B6464"	"S"	2731219	245	NA	NA	245	84	72	59	NA	0.002745	NA	NA	0.002745	0.0009554	0.0008188	0.0006726	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Natronincolaceae>Alkaliphilus>unclassified&nbsp;Alkaliphilus"
"Alkaliphilus metalliredigens"	"S"	208226	246	NA	NA	246	119	91	110	NA	0.002756	NA	NA	0.002756	0.001354	0.001035	0.001254	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Natronincolaceae>Alkaliphilus"
"Alkaliphilus oremlandii"	"S"	461876	134	NA	NA	134	95	89	67	NA	0.001501	NA	NA	0.001501	0.001081	0.001012	0.0007638	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Natronincolaceae>Alkaliphilus"
"Serpentinicella alkaliphila"	"S"	1734049	245	NA	NA	245	103	98	103	NA	0.002745	NA	NA	0.002745	0.001172	0.001114	0.001174	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Natronincolaceae>Serpentinicella"
"Caminicella sporogenes"	"S"	166485	272	NA	NA	272	110	80	115	NA	0.003047	NA	NA	0.003047	0.001251	0.0009098	0.001311	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Caminicellaceae>Caminicella"
"Geosporobacter ferrireducens"	"S"	1424294	187	NA	NA	187	133	146	109	NA	0.002095	NA	NA	0.002095	0.001513	0.00166	0.001243	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Thermotaleaceae>Geosporobacter"
"Peptoclostridium acidaminophilum"	"S"	1731	197	NA	NA	179	197	194	173	NA	0.002241	NA	NA	0.002005	0.002241	0.002206	0.001972	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Peptostreptococcales>Peptoclostridiaceae>Peptoclostridium"
"Thermoanaerobacterium sp. RBIITD"	"S"	1550240	248	NA	NA	248	125	110	116	NA	0.002779	NA	NA	0.002779	0.001422	0.001251	0.001322	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacterium>unclassified&nbsp;Thermoanaerobacterium"
"Thermoanaerobacterium sp. CMT5567-10"	"S"	3061989	238	NA	NA	238	93	82	87	NA	0.002666	NA	NA	0.002666	0.001058	0.0009325	0.0009918	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacterium>unclassified&nbsp;Thermoanaerobacterium"
"Thermoanaerobacterium thermosaccharolyticum"	"S"	1517	182	NA	NA	182	149	160	177	NA	0.002039	NA	NA	0.002039	0.001695	0.00182	0.002018	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacterium"
"Thermoanaerobacterium xylanolyticum"	"S"	29329	82	NA	NA	82	33	NA	NA	NA	0.0009187	NA	NA	0.0009187	0.0003753	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacterium"
"Thermoanaerobacter sp. RKWS2"	"S"	2983842	269	NA	NA	269	NA	NA	NA	NA	0.003014	NA	NA	0.003014	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter>unclassified&nbsp;Thermoanaerobacter"
"Thermoanaerobacter kivui"	"S"	2325	195	NA	NA	94	195	177	173	NA	0.002218	NA	NA	0.001053	0.002218	0.002013	0.001972	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Thermoanaerobacter italicus"	"S"	108150	125	NA	NA	125	NA	NA	NA	NA	0.0014	NA	NA	0.0014	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermoanaerobacter"
"Caldanaerobacter subterraneus"	"S"	911092	160	NA	NA	160	48	57	58	NA	0.001793	NA	NA	0.001793	0.000546	0.0006482	0.0006612	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Caldanaerobacter"
"Aceticella autotrophica"	"S"	2755338	158	NA	NA	158	91	86	82	NA	0.00177	NA	NA	0.00177	0.001035	0.000978	0.0009348	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Aceticella"
"Gelria sp. Kuro-4"	"S"	2796927	130	NA	NA	130	96	93	102	NA	0.001456	NA	NA	0.001456	0.001092	0.001058	0.001163	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Gelria>unclassified&nbsp;Gelria"
"Thermacetogenium phaeum"	"S"	85874	65	NA	NA	65	32	43	45	NA	0.0007282	NA	NA	0.0007282	0.000364	0.000489	0.000513	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Thermacetogenium"
"Ammonifex degensii"	"S"	42838	60	NA	NA	60	NA	32	32	NA	0.0006722	NA	NA	0.0006722	NA	0.0003639	0.0003648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Ammonifex"
"Carboxydothermus hydrogenoformans"	"S"	129958	55	NA	NA	55	30	33	NA	NA	0.0006162	NA	NA	0.0006162	0.0003412	0.0003753	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacteraceae>Carboxydothermus"
"Mahella australiensis"	"S"	252966	149	NA	NA	149	70	91	85	NA	0.001669	NA	NA	0.001669	0.0007962	0.001035	0.000969	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermoanaerobacterales>Thermoanaerobacterales&nbsp;Family&nbsp;IV.&nbsp;Incertae&nbsp;Sedis>Mahella"
"Monoglobus pectinilyticus"	"S"	1981510	1135	NA	NA	1135	642	660	634	31	0.01272	NA	NA	0.01272	0.007302	0.007506	0.007228	0.0007059	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Monoglobales>Monoglobaceae>Monoglobus"
"Christensenella minuta"	"S"	626937	922	NA	NA	922	803	800	762	32	0.01033	NA	NA	0.01033	0.009133	0.009098	0.008687	0.0007286	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Christensenellales>Christensenellaceae>Christensenella"
"Halanaerobium praevalens"	"S"	2331	136	NA	NA	124	136	66	110	NA	0.001547	NA	NA	0.001389	0.001547	0.0007506	0.001254	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halanaerobiaceae>Halanaerobium"
"Halanaerobium hydrogeniformans"	"S"	656519	80	NA	NA	80	53	53	47	NA	0.0008963	NA	NA	0.0008963	0.0006028	0.0006027	0.0005358	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halanaerobiaceae>Halanaerobium"
"Iocasia fonsfrigidae"	"S"	2682810	127	NA	NA	127	NA	NA	NA	NA	0.001423	NA	NA	0.001423	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halanaerobiaceae>Iocasia"
"Halocella sp. SP3-1"	"S"	2382161	107	NA	NA	74	NA	107	NA	NA	0.001217	NA	NA	0.0008291	NA	0.001217	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halanaerobiaceae>Halocella>unclassified&nbsp;Halocella"
"Halobacteroides halobius"	"S"	42422	100	NA	NA	100	71	49	55	NA	0.00112	NA	NA	0.00112	0.0008076	0.0005572	0.000627	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halobacteroidaceae>Halobacteroides"
"Acetohalobium arabaticum"	"S"	28187	85	NA	NA	62	85	68	76	NA	0.0009668	NA	NA	0.0006946	0.0009668	0.0007733	0.0008664	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halobacteroidaceae>Acetohalobium"
"Anoxybacter fermentans"	"S"	1323375	135	NA	NA	135	62	64	57	NA	0.001513	NA	NA	0.001513	0.0007052	0.0007278	0.0006498	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halanaerobiales&nbsp;incertae&nbsp;sedis>Anoxybacter"
"Halothermothrix orenii"	"S"	31909	81	NA	NA	81	59	39	49	NA	0.0009075	NA	NA	0.0009075	0.0006711	0.0004435	0.0005586	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Halanaerobiales>Halothermotrichaceae>Halothermothrix"
"Moorella humiferrea"	"S"	676965	108	NA	NA	108	62	83	80	NA	0.00121	NA	NA	0.00121	0.0007052	0.0009439	0.000912	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Moorellaceae>Moorella"
"Moorella thermoacetica"	"S"	1525	105	NA	NA	105	46	53	56	NA	0.001176	NA	NA	0.001176	0.0005232	0.0006027	0.0006384	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Moorellaceae>Moorella"
"Moorella sp. Hama-1"	"S"	2138101	92	NA	NA	92	50	58	69	NA	0.001031	NA	NA	0.001031	0.0005687	0.0006596	0.0007866	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Moorellaceae>Moorella>unclassified&nbsp;Moorella&nbsp;(in:&nbsp;firmicutes)"
"Moorella glycerini"	"S"	55779	68	NA	NA	68	38	39	34	NA	0.0007619	NA	NA	0.0007619	0.0004322	0.0004435	0.0003876	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Moorellaceae>Moorella"
"Thermanaeromonas toyohensis"	"S"	161154	48	NA	NA	48	42	37	43	NA	0.0005378	NA	NA	0.0005378	0.0004777	0.0004208	0.0004902	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Moorellaceae>Thermanaeromonas"
"Zhaonella formicivorans"	"S"	2528593	81	NA	NA	81	59	66	58	NA	0.0009075	NA	NA	0.0009075	0.0006711	0.0007506	0.0006612	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Moorellales>Zhaonellaceae>Zhaonella"
"Biomaibacter acetigenes"	"S"	2316383	107	NA	NA	107	98	75	95	NA	0.001199	NA	NA	0.001199	0.001115	0.0008529	0.001083	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermosediminibacterales>Tepidanaerobacteraceae>Biomaibacter"
"Tepidanaerobacter acetatoxydans"	"S"	499229	101	NA	NA	101	76	69	55	NA	0.001132	NA	NA	0.001132	0.0008644	0.0007847	0.000627	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermosediminibacterales>Tepidanaerobacteraceae>Tepidanaerobacter"
"Thermosediminibacter oceani"	"S"	291990	73	NA	NA	73	32	38	35	NA	0.0008179	NA	NA	0.0008179	0.000364	0.0004321	0.000399	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Thermosediminibacterales>Thermosediminibacteraceae>Thermosediminibacter"
"Helicovermis profundi"	"S"	3065157	195	NA	NA	195	103	116	109	NA	0.002185	NA	NA	0.002185	0.001172	0.001319	0.001243	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Clostridia&nbsp;incertae&nbsp;sedis>Helicovermis"
"Natranaerofaba carboxydovora"	"S"	2742683	78	NA	NA	78	44	41	55	NA	0.0008739	NA	NA	0.0008739	0.0005005	0.0004663	0.000627	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Natranaerobiales>Natranaerofabaceae>Natranaerofaba"
"Natranaerobius thermophilus"	"S"	375929	118	NA	NA	50	108	116	118	NA	0.001345	NA	NA	0.0005602	0.001228	0.001319	0.001345	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Natranaerobiales>Natranaerobiaceae>Natranaerobius"
"Koleobacter methoxysyntrophicus"	"S"	2751313	81	NA	NA	81	30	45	32	NA	0.0009075	NA	NA	0.0009075	0.0003412	0.0005117	0.0003648	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Clostridia>Koleobacterales>Koleobacteraceae>Koleobacter"
"Lactobacillus amylovorus"	"S"	1604	32133	NA	NA	32133	112	104	103	192	0.36	NA	NA	0.36	0.001274	0.001183	0.001174	0.004372	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus crispatus"	"S"	47770	666	NA	NA	666	140	163	166	54	0.007462	NA	NA	0.007462	0.001592	0.001854	0.001892	0.00123	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus helveticus"	"S"	1587	589	NA	NA	589	95	142	101	220	0.006599	NA	NA	0.006599	0.001081	0.001615	0.001151	0.005009	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus johnsonii"	"S"	33959	448	NA	NA	448	157	133	175	54	0.005019	NA	NA	0.005019	0.001786	0.001512	0.001995	0.00123	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus sp. IBH004"	"S"	2879107	69	NA	NA	69	NA	NA	NA	NA	0.0007731	NA	NA	0.0007731	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. CBA3605"	"S"	2099788	666	NA	NA	82	NA	NA	NA	666	0.01516	NA	NA	0.0009187	NA	NA	NA	0.01516	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. CBA3606"	"S"	2099789	726	NA	NA	78	NA	NA	NA	726	0.01653	NA	NA	0.0008739	NA	NA	NA	0.01653	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. ESL0785"	"S"	2983232	123	NA	NA	49	123	116	118	NA	0.001399	NA	NA	0.000549	0.001399	0.001319	0.001345	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. 3B(2020)"	"S"	2695882	35	NA	NA	35	NA	NA	NA	NA	0.0003921	NA	NA	0.0003921	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus sp. PV034"	"S"	2594495	40	NA	NA	40	NA	NA	NA	NA	0.0004482	NA	NA	0.0004482	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus>unclassified&nbsp;Lactobacillus"
"Lactobacillus iners"	"S"	147802	171	NA	NA	171	112	136	96	NA	0.001916	NA	NA	0.001916	0.001274	0.001547	0.001094	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus panisapium"	"S"	2012495	145	NA	NA	145	43	54	43	NA	0.001625	NA	NA	0.001625	0.0004891	0.0006141	0.0004902	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus acetotolerans"	"S"	1600	127	NA	NA	100	NA	NA	NA	127	0.002892	NA	NA	0.00112	NA	NA	NA	0.002892	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus acidophilus"	"S"	1579	95	NA	NA	95	NA	41	34	NA	0.001064	NA	NA	0.001064	NA	0.0004663	0.0003876	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus isalae"	"S"	2993455	79	NA	NA	79	NA	NA	NA	NA	0.0008851	NA	NA	0.0008851	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus xylocopicola"	"S"	2976676	70	NA	NA	70	NA	NA	NA	NA	0.0007843	NA	NA	0.0007843	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus gasseri"	"S"	1596	160	NA	NA	84	160	138	137	76	0.00182	NA	NA	0.0009411	0.00182	0.001569	0.001562	0.001731	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus ultunensis"	"S"	227945	67	NA	NA	67	NA	NA	NA	NA	0.0007507	NA	NA	0.0007507	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus terrae"	"S"	2269374	61	NA	NA	61	NA	NA	NA	NA	0.0006834	NA	NA	0.0006834	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus amylolyticus"	"S"	83683	55	NA	NA	55	NA	NA	NA	NA	0.0006162	NA	NA	0.0006162	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus jensenii"	"S"	109790	53	NA	NA	53	NA	NA	NA	NA	0.0005938	NA	NA	0.0005938	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus helsingborgensis"	"S"	1218494	50	NA	NA	50	NA	NA	NA	NA	0.0005602	NA	NA	0.0005602	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus intestinalis"	"S"	151781	43	NA	NA	43	NA	35	NA	NA	0.0004818	NA	NA	0.0004818	NA	0.000398	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus kefiranofaciens"	"S"	267818	42	NA	NA	41	NA	NA	NA	42	0.0009563	NA	NA	0.0004594	NA	NA	NA	0.0009563	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
"Lactobacillus taiwanensis"	"S"	508451	35	NA	NA	35	NA	NA	NA	NA	0.0003921	NA	NA	0.0003921	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae>Lactobacillus"
